,lower limit,upper limit,frequency
0,1,2,0
1,2,4,0
2,4,8,0
3,8,16,0
4,16,32,0
5,32,64,0
6,64,128,0
7,128,256,0
8,256,512,0
9,512,1024,0
10,1024,2048,0
11,2048,4096,0
12,4096,8192,0
13,8192,16384,0
14,16384,32768,0
15,32768,65536,0
16,65536,131072,1
17,131072,262144,0
18,262144,524288,0
19,524288,1048576,0
20,1048576,2097152,3
21,2097152,4194304,1
22,4194304,8388608,0
