websites,Root CA,LastInterCA
naver.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'GeoTrust RSA CA 2018'}"
forbes.com,GlobalSign,"{'C': 'BE', 'O': 'GlobalSign nv-sa', 'CN': 'GlobalSign Atlas R3 DV TLS CA 2020'}"
macromedia.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert SHA2 Secure Server CA'}"
imdb.com,"Starfield Technologies, Inc.","{'C': 'US', 'O': 'Amazon', 'OU': 'Server CA 1B', 'CN': 'Amazon'}"
bbc.co.uk,GlobalSign nv-sa,"{'C': 'BE', 'O': 'GlobalSign nv-sa', 'CN': 'GlobalSign ECC OV SSL CA 2018'}"
sourceforge.net,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
googlevideo.com,GlobalSign,"{'C': 'US', 'O': 'Google Trust Services', 'CN': 'GTS CA 1O1'}"
cloudflare.com,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
amazon.in,"VeriSign, Inc.","{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert Global CA G2'}"
stackoverflow.com,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
bbc.com,GlobalSign nv-sa,"{'C': 'BE', 'O': 'GlobalSign nv-sa', 'CN': 'GlobalSign RSA OV SSL CA 2018'}"
aliexpress.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert SHA2 Secure Server CA'}"
archive.org,"The Go Daddy Group, Inc.","{'C': 'US', 'ST': 'Arizona', 'L': 'Scottsdale', 'O': 'GoDaddy.com, Inc.', 'OU': 'http://certs.godaddy.com/repository/', 'CN': 'Go Daddy Secure Certificate Authority - G2'}"
googleadservices.com,GlobalSign,"{'C': 'US', 'O': 'Google Trust Services', 'CN': 'GTS CA 1O1'}"
digicert.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'DigiCert SHA2 Extended Validation Server CA'}"
google.co.in,GlobalSign,"{'C': 'US', 'O': 'Google Trust Services', 'CN': 'GTS CA 1O1'}"
virginmedia.com,GlobalSign,"{'C': 'BE', 'O': 'GlobalSign nv-sa', 'CN': 'GlobalSign GCC R3 DV TLS CA 2020'}"
weebly.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'Encryption Everywhere DV TLS CA - G1'}"
amazon.co.jp,"VeriSign, Inc.","{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert Global CA G2'}"
creativecommons.org,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
wixsite.com,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
issuu.com,"Starfield Technologies, Inc.","{'C': 'US', 'O': 'Amazon', 'OU': 'Server CA 1B', 'CN': 'Amazon'}"
icloud.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert, Inc.', 'OU': 'www.digicert.com', 'CN': 'DigiCert SHA2 Extended Validation Server CA-3'}"
tribunnews.com,"Starfield Technologies, Inc.","{'C': 'US', 'O': 'Amazon', 'OU': 'Server CA 1B', 'CN': 'Amazon'}"
amazon.co.uk,"VeriSign, Inc.","{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert Global CA G2'}"
oracle.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert TLS Hybrid ECC SHA384 2020 CA1'}"
php.net,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'Thawte TLS RSA CA G1'}"
cdc.gov,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'GeoTrust RSA CA 2018'}"
wix.com,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
reuters.com,Comodo CA Limited,"{'C': 'GB', 'ST': 'Greater Manchester', 'L': 'Salford', 'O': 'COMODO CA Limited', 'CN': 'COMODO RSA Organization Validation Secure Server CA'}"
instructure.com,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
huanqiu.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'GeoTrust CN RSA CA G1'}"
imgur.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert SHA2 Secure Server CA'}"
tinyurl.com,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
wp.com,Comodo CA Limited,"{'C': 'GB', 'ST': 'Greater Manchester', 'L': 'Salford', 'O': 'Sectigo Limited', 'CN': 'Sectigo RSA Domain Validation Secure Server CA'}"
yy.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'Secure Site CA G2'}"
google.cn,GlobalSign,"{'C': 'US', 'O': 'Google Trust Services', 'CN': 'GTS CA 1O1'}"
bloomberg.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'DigiCert SHA2 Extended Validation Server CA'}"
cnet.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'DigiCert SHA2 High Assurance Server CA'}"
sciencedirect.com,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
businessinsider.com,GlobalSign nv-sa,"{'C': 'BE', 'O': 'GlobalSign nv-sa', 'CN': 'GlobalSign Organization Validation CA - SHA256 - G2'}"
youtube-nocookie.com,GlobalSign,"{'C': 'US', 'O': 'Google Trust Services', 'CN': 'GTS CA 1O1'}"
opera.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'DigiCert SHA2 High Assurance Server CA'}"
alibaba.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert SHA2 Secure Server CA'}"
mit.edu,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'GeoTrust RSA CA 2018'}"
gnu.org,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
google.com.br,GlobalSign,"{'C': 'US', 'O': 'Google Trust Services', 'CN': 'GTS CA 1O1'}"
researchgate.net,GlobalSign nv-sa,"{'C': 'BE', 'O': 'GlobalSign nv-sa', 'CN': 'AlphaSSL CA - SHA256 - G2'}"
so.com,Comodo CA Limited,"{'C': 'CN', 'O': 'WoTrus CA Limited', 'CN': 'WoTrus DV Server CA  [Run by the Issuer]'}"
espn.com,"Entrust, Inc.","{'C': 'US', 'O': 'Entrust, Inc.', 'OU': '(c) 2012 Entrust, Inc. - for authorized use only', 'CN': 'Entrust Certification Authority - L1K'}"
forms.gle,GlobalSign,"{'C': 'US', 'O': 'Google Trust Services', 'CN': 'GTS CA 1O1'}"
samsung.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'GeoTrust RSA CA 2018'}"
wiley.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'Encryption Everywhere DV TLS CA - G1'}"
stanford.edu,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
booking.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'DigiCert ECC Extended Validation Server CA'}"
usatoday.com,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
aol.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'DigiCert SHA2 High Assurance Server CA'}"
blogger.com,GlobalSign,"{'C': 'US', 'O': 'Google Trust Services', 'CN': 'GTS CA 1O1'}"
